star_min,gene_symbol,gene_id,mondo_id,variant_count
2,ABCA4,NCBIGene:24,MONDO:0800406,82
2,ACADVL,NCBIGene:37,MONDO:0008723,167
2,ACTA1,NCBIGene:58,MONDO:0100084,33
2,ACTC1,NCBIGene:70,MONDO:0005045,2
2,ACVRL1,NCBIGene:94,MONDO:0010880,12
2,ADA,NCBIGene:100,MONDO:0007064,27
2,AIPL1,NCBIGene:23746,MONDO:0100438,22
2,AKT3,NCBIGene:10000,MONDO:0100283,1
2,ANO5,NCBIGene:203859,MONDO:0015152,16
2,APC,NCBIGene:324,MONDO:0021055,1
2,APC,NCBIGene:324,MONDO:0021056,51
2,ATM,NCBIGene:472,MONDO:0700270,93
2,BMPR2,NCBIGene:659,MONDO:0015924,42
2,BRAF,NCBIGene:673,MONDO:0015280,4
2,BRAF,NCBIGene:673,MONDO:0020297,6
2,BRAF,NCBIGene:673,MONDO:0021060,14
2,BRCA1,NCBIGene:672,MONDO:0011450,2222
2,BRCA1,NCBIGene:672,MONDO:0700268,49
2,BRCA2,NCBIGene:675,MONDO:0012933,2666
2,BRCA2,NCBIGene:675,MONDO:0700269,36
2,C11orf65,NCBIGene:160140,MONDO:0700270,37
2,C12orf43,NCBIGene:64897,MONDO:0015967,8
2,CAPN3,NCBIGene:825,MONDO:0015152,80
2,CCDC40,NCBIGene:55036,MONDO:0009290,1
2,CDH1,NCBIGene:999,MONDO:0100488,153
2,CDH23,NCBIGene:64072,MONDO:0019497,2
2,CDH23,NCBIGene:64072,MONDO:0019501,1
2,CDH23,NCBIGene:64072,MONDO:0020678,1
2,CDH23-AS1,NCBIGene:102723377,MONDO:0019501,1
2,CDKL5,NCBIGene:6792,MONDO:0010725,35
2,CDKL5,NCBIGene:6792,MONDO:0100039,28
2,CFTR,NCBIGene:1080,MONDO:0009061,369
2,CFTR-AS1,NCBIGene:111082987,MONDO:0009061,34
2,CFTR-AS2,NCBIGene:140577507,MONDO:0009061,82
2,COCH,NCBIGene:1690,MONDO:0011058,1
2,COCH,NCBIGene:1690,MONDO:0019497,1
2,COCH-AS1,NCBIGene:100506071,MONDO:0011058,1
2,COCH-AS1,NCBIGene:100506071,MONDO:0019497,1
2,CTLA4,NCBIGene:1493,MONDO:0014493,15
2,CYP1B1,NCBIGene:1545,MONDO:0800472,35
2,DCLRE1C,NCBIGene:64421,MONDO:0011225,22
2,DICER1,NCBIGene:23405,MONDO:0100216,40
2,DLG4,NCBIGene:1742,MONDO:0008723,1
2,DNM2,NCBIGene:1785,MONDO:0018947,12
2,DVL2,NCBIGene:1856,MONDO:0008723,2
2,DYSF,NCBIGene:8291,MONDO:0015152,188
2,DYSF,NCBIGene:8291,MONDO:0016971,3
2,EFCAB13-DT,NCBIGene:102724508,MONDO:0100326,7
2,ENG,NCBIGene:2022,MONDO:0008535,12
2,ETHE1,NCBIGene:23474,MONDO:0011229,5
2,F8,NCBIGene:2157,MONDO:0010602,54
2,F9,NCBIGene:2158,MONDO:0010604,44
2,FBN1,NCBIGene:2200,MONDO:0007947,94
2,FOXG1,NCBIGene:2290,MONDO:0100040,14
2,FOXN1,NCBIGene:8456,MONDO:0011132,29
2,GAA,NCBIGene:2548,MONDO:0009290,296
2,GAMT,NCBIGene:2593,MONDO:0012999,69
2,GATM,NCBIGene:2628,MONDO:0012996,12
2,GCK,NCBIGene:2645,MONDO:0007453,12
2,GCK,NCBIGene:2645,MONDO:0015967,359
2,GJB2,NCBIGene:2706,MONDO:0019497,20
2,GJD2-DT,NCBIGene:101928174,MONDO:0005045,2
2,GP1BA,NCBIGene:2811,MONDO:0009276,44
2,GP1BB,NCBIGene:2812,MONDO:0009276,20
2,GP9,NCBIGene:2815,MONDO:0009276,16
2,GUCY2D,NCBIGene:3000,MONDO:0100453,39
2,HBA1,NCBIGene:3039,MONDO:0100562,1
2,HBA2,NCBIGene:3040,MONDO:0100562,8
2,HBB,NCBIGene:3043,MONDO:0013517,11
2,HNF1A,NCBIGene:6927,MONDO:0015967,231
2,HNF4A,NCBIGene:3172,MONDO:0015967,102
2,HRAS,NCBIGene:3265,MONDO:0009026,1
2,HRAS,NCBIGene:3265,MONDO:0018997,1
2,HRAS,NCBIGene:3265,MONDO:0021060,3
2,IDUA,NCBIGene:3425,MONDO:0001586,121
2,IL2RG,NCBIGene:3561,MONDO:0010315,34
2,IL7R,NCBIGene:3575,MONDO:0012163,12
2,ITGA2B,NCBIGene:3674,MONDO:0100326,222
2,ITGB3,NCBIGene:3690,MONDO:0100326,146
2,JAK3,NCBIGene:3718,MONDO:0010938,10
2,KCNQ1,NCBIGene:3784,MONDO:0100316,9
2,KCNQ4,NCBIGene:9132,MONDO:0019497,3
2,KRAS,NCBIGene:3845,MONDO:0015280,1
2,KRAS,NCBIGene:3845,MONDO:0018997,2
2,KRAS,NCBIGene:3845,MONDO:0021060,5
2,LDLR,NCBIGene:3949,MONDO:0007750,200
2,LDLR-AS1,NCBIGene:115271120,MONDO:0007750,8
2,LOC102723566,NCBIGene:102723566,MONDO:0008535,7
2,LOC102724058,NCBIGene:102724058,MONDO:0018214,1
2,LOC102724058,NCBIGene:102724058,MONDO:0100135,2
2,LOC106099062,NCBIGene:106099062,MONDO:0013517,7
2,LOC106721785,NCBIGene:106721785,MONDO:0700269,1
2,LOC106804612,NCBIGene:106804612,MONDO:0100562,8
2,LOC107133510,NCBIGene:107133510,MONDO:0013517,11
2,LOC107303340,NCBIGene:107303340,MONDO:0008667,8
2,LOC107303343,NCBIGene:107303343,MONDO:0007064,1
2,LOC110006319,NCBIGene:110006319,MONDO:0013517,4
2,LOC110121121,NCBIGene:110121121,MONDO:0015152,1
2,LOC111674463,NCBIGene:111674463,MONDO:0009061,1
2,LOC111674472,NCBIGene:111674472,MONDO:0009061,35
2,LOC111674475,NCBIGene:111674475,MONDO:0009061,20
